,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
89,1005272,Adelanto Stadium Farmers Market,,,,,,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,,,,,,,,,-117.405,34.5593,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
108,1009019,Alameda Farmers' Market,http://www.pcfma.com,https://www.facebook.com/AlamedaFarmersMarket,,,,Haight and Webster St.,Alameda,Alameda,California,,01/01/2013 to 12/31/2013,Tue: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-122.276762,37.774248,,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2016 12:57:44 PM
136,1008835,Alisal Certified Farmers' Market,http://www.everyonesharvest.org,https://www.facebook.com/EveryonesHarvest,,,,632 East Alisal Street,Salinas,Monterey,California,93905,06/28/2016 to 10/11/2016,Tue: 11:00 AM-4:00 PM;,,,,,,,-121.634178,36.673319,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2016 3:24:13 PM
164,1009998,Altadena Farmers' Market,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,https://twitter.com/AltadenaFM,,http://altadenafm.tumblr.com,600 W. Palm Street,Altadena,Los Angeles,California,91001,01/08/2014 to 03/05/2014,Wed: 3:00 PM-7:00 PM;,03/12/2014 to 11/05/2014,Wed: 4:00 PM-8:00 PM;,11/12/2014 to 12/31/2014,Wed: 3:00 PM-7:00 PM;,,,-118.1581301,34.200378799999996,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,4/22/2014 1:29:47 PM
170,1011421,Alum Rock Village Farmers' Market,http://www.pcfma.org,www.facebook.com/AlumRockVillageFarmersMarket,www.twitter.com/PacCoastFarmers,,,57 North White Road,San Jose,Santa Clara,California,,01/01/2015 to 12/31/2015,Sun: 8:00 AM-1:00 PM;,,,,,,,-121.83328799999998,37.36777,,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,7/20/2015 12:39:04 PM
172,1005644,Amador Farmers' Market-- Jackson,http://www.amadorfarmersmarket.com,,,,,Jackson Library/ True Value,Jackson,Amador,California,95642,06/07/2015 to 10/01/2015,Sun: 9:00 AM-12:00 PM;,,,,,,,-120.7741018,38.348802299999996,,Y,Y,N,Y,N,-,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,3/27/2015 6:09:06 PM
173,1005645,Amador Farmers' Market-- Pine Grove,http://www.amadorfarmersmarket.com,,,,,Hwy 88 at Irishtown Rd.,Pine Grove,Amador,California,95665,06/03/2015 to 10/01/2015,Wed: 3:00 PM-6:00 PM;,,,,,,,-120.7741018,38.348802299999996,,Y,Y,N,Y,N,-,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,3/27/2015 5:51:19 PM
174,1005646,Amador Farmers' Market-- Sutter Creek,http://www.amadorfarmersmarket.com,,,,,Eureka St. & Highway 49,Sutter Creek,Amador,California,95685,06/13/2015 to 10/01/2015,Sat: 9:00 AM-12:00 PM;,,,,,,,-120.7741018,38.348802299999996,,Y,Y,N,Y,N,-,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,3/27/2015 5:50:12 PM
202,1002089,Anderson Happy Valley Farmers Market,,,,,,Happy Valley Rd.,Anderson,Shasta,California,96007,,,,,,,,,-122.40799999999999,40.4487,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
209,1006268,Angels Camp Farmers Market-Fresh Fridays,http://www.angelscampbusiness.com/events/fresh-fridays/,,,,,"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222,June to October,Fri:5:00 PM - 8:00 PM;,,,,,,,-120.5427,38.072158,Other,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,5/1/2012 11:19:26 AM
222,1011248,Antelope Valley Winery Farmer's Market ,http://www.avwinery.com,,,,,42041 20th St. West,Lancaster,Los Angeles,California,93534,05/30/2015 to 11/28/2015,Sat: 9:00 AM-12:00 PM;,,,,,,,-118.1662288,34.6470421,,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,6/17/2015 3:17:08 PM
235,1009687,Aptos Farmers Market at Cabrillo College,http://www.montereybayfarmers.org,https://www.facebook.com/pages/Monterey-Bay-Certified-Farmers-Markets/112446802152723,https://twitter.com/MBFarmersMarket,,www.edibleparadise.com,6500 Soquel Drive,Aptos,Santa Cruz,California,95003,01/01/2014 to 12/31/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-121.92703940000001,36.9872756,Educational institution,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,3/31/2014 5:49:06 PM
238,1008482,Arbuckle Certified Farmers Market,http://arbucklerevitalization.org/farmersmarket.html,,,,,6613 Harrington Avenue,Arbuckle ,Amador,California,,,,,,,,,,-122.06608200000001,38.953013,Other,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/26/2014 3:24:24 PM
254,1002085,Arcata Plaza Farmers' Market,http://www.humfarm.org,https://www.facebook.com/North.Coast.Growers.Association,,,,9th and H Streets,Arcata,Humboldt,California,95521,01/01/2014 to 12/31/2014,Sat: 9:00 AM-2:00 PM;,,,,,,,-124.086882,40.868396999999995,Local government building grounds,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,4/25/2014 2:45:04 PM
278,1000294,Arnold-Mountain Growers Farmers Market,,,,,,"Cedar Center, Hwy. 4 & Oak Circle",Murphys,Calaveras,California,95247,,,,,,,,,-120.36200000000001,38.239000000000004,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
279,1001892,Arroyo Grande Oak Park Plaza Farmers Market,,,,,,"East Branch, K-Mart Parking lot",Arroyo Grande,San Luis Obispo,California,93420,,,,,,,,,-120.552,35.1271,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
280,1001893,Arroyo Grande Spencers CFM,,,,,,1464 E. Grand Avenue,Arroyo Grande,SAN LUIS OBISPO,California,,,,,,,,,,-120.60600000000001,35.1221,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
