,CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share,geoid
4726,6037101110,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1641,88.0,0.0186007,0,4731,U,3461.636143,0.731692273,1107.12524,0.234015058,684.223294,0.734933721,282.4793039,0.58849855,57.18972802,0.034850535,114.50742930000001,0.024203642,28.77595654,0.006082426,18.45565042,0.01982347,12.28052923,0.025584436000000002,0.24038642100000002,0.00014648799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037101110
4727,6037101122,CA,Los Angeles,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1325,0.0,0.0,0,3664,U,3660.694039,0.999097718,681.5939929,0.186024561,645.4285907999999,0.9991154659999999,491.55103590000004,0.999087471,23.26739618,0.017560298999999998,1703.8873989999997,0.46503477,339.81261639999997,0.09274361800000001,291.55044169999996,0.451316473,259.7774983,0.528003045,9.538000152,0.007198491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037101122
4728,6037101210,CA,Los Angeles,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2150,55.0,0.009182,1,5990,U,5517.179051,0.92106495,2838.920072,0.473943251,1259.247477,0.915150783,469.8649772,0.926755379,93.40903095,0.043446060999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037101210
4729,6037101220,CA,Los Angeles,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1246,2.0,0.0005947,1,3363,U,2587.409552,0.769375424,1092.403925,0.324830189,607.5106364,0.803585498,247.64596239999997,0.6333656329999999,131.7205867,0.10571475699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037101220
4730,6037101300,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1542,49.0,0.0116694,0,4199,U,739.3488887999999,0.176077373,143.11212969999997,0.034082431,106.1501956,0.150781528,121.63557479999999,0.161749435,7.080026612,0.004591457,15.38699722,0.003664443,2.743614197,0.000653397,1.7279515269999999,0.002454477,2.715352535,0.0036108409999999996,0.11161922699999999,7.238600000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037101300
4731,6037101400,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1498,2.0,0.0005124,0,3903,U,2480.9706170000004,0.635657345,612.4035365,0.15690585099999999,446.6206744,0.654869024,331.8620768,0.590501916,34.88511091,0.023287791000000002,323.35961810000003,0.082848993,80.13166955,0.020530789,55.54771717,0.08144826599999999,49.34721784,0.08780643699999999,9.115634449,0.006085203000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037101400
4732,6037102103,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,630,0.0,0.0,0,1740,U,641.1741274,0.36849087799999997,152.8926917,0.087869363,100.6014847,0.373983214,116.8065853,0.418661596,19.67170226,0.031224923999999998,28.88782978,0.016602201,6.888515711,0.003958917,4.6752249,0.017380018,4.987400532,0.017875988,0.890600562,0.001413652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037102103
4733,6037102104,CA,Los Angeles,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1279,212.0,0.058114,0,3648,U,3647.999967,0.9999999909999999,507.80696789999996,0.139201471,555.9999971,0.999999995,525.9999945000001,0.99999999,22.17964786,0.017341398,3384.3762020000004,0.927734705,452.88535010000004,0.12414620300000001,514.6099506,0.925557465,479.929697,0.912413873,18.54664408,0.014500895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037102104
4734,6037102105,CA,Los Angeles,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,527,0.0,0.0,1,1731,U,1731.0000120000002,1.0000000070000001,562.1938081000001,0.324779785,393.0000015,1.000000004,166.9999993,0.9999999959999999,39.49816895,0.074949087,1331.369749,0.769133304,424.8218132,0.245419881,295.30019680000004,0.7513999920000001,126.79772520000002,0.7592678159999999,28.68220615,0.054425439000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037102105
4735,6037102107,CA,Los Angeles,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1269,294.0,0.0763438,1,3851,U,2621.150405,0.680641497,1128.55636,0.29305540399999996,551.8027816,0.772833028,378.87879239999995,0.48636558700000004,69.28454682,0.054597752,1231.75015,0.319852025,526.6405288,0.136754227,271.51080460000003,0.380267233,156.2418126,0.200567154,32.50334663,0.025613353999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037102107
