,geoid,LowIncomeTracts
4726,06037101110,0
4727,06037101122,0
4728,06037101210,1
4729,06037101220,1
4730,06037101300,0
4731,06037101400,0
4732,06037102103,0
4733,06037102104,0
4734,06037102105,1
4735,06037102107,1
4736,06037103101,0
4737,06037103102,0
4738,06037103200,0
4739,06037103300,0
4740,06037103400,0
4741,06037104103,0
4742,06037104105,1
4743,06037104108,1
4744,06037104124,0
4745,06037104201,1
4746,06037104203,1
4747,06037104204,0
4748,06037104310,0
4749,06037104320,0
4750,06037104401,1
4751,06037104403,1
4752,06037104404,1
4753,06037104500,1
4754,06037104610,1
4755,06037104620,1
4756,06037104701,1
4757,06037104703,1
4758,06037104704,1
4759,06037104810,1
4760,06037104821,1
4761,06037104822,1
4762,06037106010,0
4763,06037106020,0
4764,06037106111,0
4765,06037106112,0
4766,06037106113,0
4767,06037106114,1
4768,06037106403,0
4769,06037106405,0
4770,06037106406,0
4771,06037106407,1
4772,06037106408,1
4773,06037106510,0
4774,06037106520,1
4775,06037106603,0
4776,06037106604,1
4777,06037106641,0
4778,06037106642,0
4779,06037106643,0
4780,06037106645,0
4781,06037106646,0
4782,06037106648,1
4783,06037106649,0
4784,06037107010,0
4785,06037107020,0
4786,06037108101,0
4787,06037108102,0
4788,06037108103,0
4789,06037108104,0
4790,06037108201,0
4791,06037108202,0
4792,06037109100,0
4793,06037109200,0
4794,06037109300,0
4795,06037109400,0
4796,06037109500,0
4797,06037109601,0
4798,06037109603,0
4799,06037109604,0
4800,06037109700,0
4801,06037109800,0
4802,06037111100,0
4803,06037111201,0
4804,06037111202,0
4805,06037111204,0
4806,06037111205,0
4807,06037111206,0
4808,06037111301,0
4809,06037111302,0
4810,06037111400,1
4811,06037113101,0
4812,06037113102,0
4813,06037113211,0
4814,06037113212,0
4815,06037113213,0
4816,06037113231,0
4817,06037113232,0
4818,06037113233,1
4819,06037113234,1
4820,06037113235,0
4821,06037113237,0
4822,06037113301,0
4823,06037113303,0
4824,06037113321,0
4825,06037113322,0
4826,06037113401,0
4827,06037113421,1
4828,06037113422,0
4829,06037115101,0
4830,06037115103,0
4831,06037115104,1
4832,06037115201,1
4833,06037115202,1
4834,06037115301,0
4835,06037115302,1
4836,06037115401,1
